chain_length	codes	glyphs
12	M268 M269 M106 M009 M206 M102 M309 M362+M059 M367/M153/M362 M346 M006 M362/M153/M367	𜃦 𜃪 𛺄 𛵓 𛾾 𛹬 𜆽 𜉳 𜊊/𛽆/𜉮 𜈽 𛵉 𜉮/𛽆/𜊊
12	M362+M244 M269 M106 M009 M206 M102 M309 M362+M059 M367/M153/M362 M346 M006 M362/M153/M367	𜉹 𜃪 𛺄 𛵓 𛾾 𛹬 𜆽 𜉳 𜊊/𛽆/𜉮 𜈽 𛵉 𜉮/𛽆/𜊊
11	M260 M106 M009 M206 M102 M309 M362+M059 M367/M153/M362 M346 M006 M362/M153/M367	𜂧 𛺄 𛵓 𛾾 𛹬 𜆽 𜉳 𜊊/𛽆/𜉮 𜈽 𛵉 𜉮/𛽆/𜊊
10	M101 M009 M206 M102 M309 M362+M059 M367/M153/M362 M346 M006 M362/M153/M367	𛹪 𛵓 𛾾 𛹬 𜆽 𜉳 𜊊/𛽆/𜉮 𜈽 𛵉 𜉮/𛽆/𜊊
9	M175+M288 M292 M102 M309 M362+M059 M367/M153/M362 M346 M006 M362/M153/M367	𛾄 𜅊 𛹬 𜆽 𜉳 𜊊/𛽆/𜉮 𜈽 𛵉 𜉮/𛽆/𜊊
9	M145 M206 M102 M309 M362+M059 M367/M153/M362 M346 M006 M362/M153/M367	𛼙 𛾾 𛹬 𜆽 𜉳 𜊊/𛽆/𜉮 𜈽 𛵉 𜉮/𛽆/𜊊
7	M260+N24 M228 M036+N30D/M036+N14 M297 M218/M047/M242/M124/M388 M288 M124/M218/M047/M242/M388	𜂮 𜀢 𛶔/𛶏 𜅸 𛿺/𛷊/𜀺/𛻃/𜌓 𜄱 𛻃/𛿺/𛷊/𜀺/𜌓
6	M073 M318 M297 M218/M047/M242/M124/M388 M288 M124/M218/M047/M242/M388	𛸩 𜇩 𜅸 𛿺/𛷊/𜀺/𛻃/𜌓 𜄱 𛻃/𛿺/𛷊/𜀺/𜌓
6	M285 M386 M219 M371 M124/M218/M047/M242/M388 M288	𜄤 𜋸 𜀈 𜊩 𛻃/𛿺/𛷊/𜀺/𜌓 𜄱
6	M052 M248 M297 M218/M047/M242/M124/M388 M288 M124/M218/M047/M242/M388	𛷦 𜁨 𜅸 𛿺/𛷊/𜀺/𛻃/𜌓 𜄱 𛻃/𛿺/𛷊/𜀺/𜌓
5	M302 M297 M218/M047/M242/M124/M388 M288 M124/M218/M047/M242/M388	𜆌 𜅸 𛿺/𛷊/𜀺/𛻃/𜌓 𜄱 𛻃/𛿺/𛷊/𜀺/𜌓
