Capital:		
AN	Ⴀ	
BAN	Ⴁ	
GAN	Ⴂ	
DON	Ⴃ	
EN	Ⴄ	
VIN	Ⴅ	
ZEN	Ⴆ	
TAN	Ⴇ	
IN	Ⴈ	
KAN	Ⴉ	
LAS	Ⴊ	
MAN	Ⴋ	
NAR	Ⴌ	
ON	Ⴍ	
PAR	Ⴎ	
ZHAR	Ⴏ	
RAE	Ⴐ	
SAN	Ⴑ	
TAR	Ⴒ	
UN	Ⴓ	
PHAR	Ⴔ	
KHAR	Ⴕ	
GHAN	Ⴖ	
QAR	Ⴗ	
SHIN	Ⴘ	
CHIN	Ⴙ	
CAN	Ⴚ	
JIL	Ⴛ	
CIL	Ⴜ	
CHAR	Ⴝ	
XAN	Ⴞ	
JHAN	Ⴟ	
HAE	Ⴠ	
HE	Ⴡ	
HIE	Ⴢ	
WE	Ⴣ	
HAR	Ⴤ	
HOE	Ⴥ	
		
ron რ	rae!
on	ო	mn omni	𐬢	NG	𑀗 NGA
in	ი 1…10
an	ა	
en	ე ain=ია
un	უ	eung
wen	ჳ	
vin	ვ vain	
can	ც	c𐬢𐬢
an	ა	
ban	ბ	b
nar	ნ	
man	მ	
tan	თ	


an	ა	
ban	ბ	b
ckar	ქ	Cr
can	კ	
chin	ჩ	ch
cil	წ	σl
char	ჭ	tcr
djil	ძ	dj 
dsin	შ	σn
don	დ	
wen	ჳ
vin	ვ 	
fi	ჶ	φΦ phoi
gan	გ	dg?
ghan	ღ	gო
hae	ჰ	𓎛
he	ჱ 	𓎛I
hie	ჲ	𓎛 𓍲 XN
har	ჴ	𓎛
hoe	ჵ 𓎛 	orguan!
jhan	ჯ	
kan	კ	
khar	ქ	Cr
las	ლ	lasso;)
man	მ	
en	ე ain=ია
oin	ი
phi	ჶ	φΦ phoi fi
phar	ფ	
par	პ	
qar	ყ	gyr

ron რ	rae!

san	ს	𓋴
xan	ხ	ს bsan?
tar	ტ	Θ

san	ს	𓋴
ßin	ჩ	𓋴 chin
xan	ხ	ს
shin	შ	σn
sjil	ძ	dj 

zhar	ჟ	
zen	ზ	
[space]	჻	…

ა 	1
ბ 	2
გ 	3
დ 	4
ე 	5
ვ 	6
ზ 	7
ჱ 	8
თ 	9
ი 	10
კ 	20
ლ 	30
მ 	40
ნ 	50
ჲ 	60
ო 	70
პ 	80
ჟ 	90
რ 	100
ს 	200
ტ 	300
ჳ 	400*
უ 	400*
ფ 	500
ქ 	600
ღ 	700
ყ 	800
შ 	900
ჩ 	1000
ც 	2000
ძ 	3000
წ 	4000
ჭ 	5000
ხ 	6000
ჴ 	7000
ჯ 	8000
ჰ 	9000
ჵ 	10000
