No. ,English ,Albanian shqip,,,,,
1,I ,unë,an.eI,?,,,
2,you (singular) ,"ti, ju (respectful)","tu, you",?,,,
3,he ,ai,hei,?,,,
4,we ,ne,nou’,?,,,
5,you (plural) ,ju,you,?,,,
6,they ,"ata, ato",a.they,~,,,
7,this ,ky,ce,?,,,
8,that ,"i cili, ai",ce_,~,,,
9,here ,këtu,cet site,~,,,
10,there ,atje,a’dar,~,,,
11,who ,"kush, cili,",kuos,?,,,
12,what ,"çfarë, ç'",que?,?,,,
13,where ,ku,kwo,?,,,
14,when ,kur,k’uhr,? !?,,,
15,how ,si,coi.me,? ?,,,
16,not ,"nuk, s'","nüch, as’",?,,,
17,all ,"gjithë, tërë",kallter! Cetera,? ?,,,
18,many ,shumë,? somëny,? ?,,,
19,some ,"disa, ca",ca.me,? !,,,
20,few ,"pak,",poco,? ,,,
21,other ,tjetër,cetera!,? ,,,
22,one ,një,eine,? ,,,
23,two ,dy,duy,? ,,,
24,three ,tre,trei,? ,,,
25,four ,katër,qvater,? ,,,
26,five ,pesë,peso penc pans pes,? ,,,
27,big ,madh,much maha,? !,,,
28,long ,gjatë,Greatall,? ,Gräte?,,
29,wide ,i gjerë,? ? Schere!?,? !, serus ‘late’,,
30,thick ,i trashë,thrick?,? ~,,,
31,heavy ,rëndë,agyron.de barion.de xxx,x,,,
32,small ,vogël,??!!! vague: wackel,? ,Norwegian våk wackelig vogëlush : child!!,,
33,short ,i shkurtër,?kur’,? ,,,
34,narrow ,i ngushtë,angust: engste!,? +++,,,
35,thin ,i hollë,like hole? Helles Haar,? ?,,,
36,woman ,grua,gyn groom,? ~,,,
37,man (adult male) ,burrë,"Bursche, Bauer",? ?,,,
38,man (human being) ,njeri,andjroi,? ?,,,
39,child ,"vogëlush, kalaman, fëmijë",??^^ kleinaman!,? !?,"Bemile , familie",,
40,wife ,nuse,?? n?z?,? !?,"????? (númph?, “bride”) <> n?bere nupsi : marry",,
41,husband ,burrë,?? f?rén,? !?,"bear, Bauer married : burried ;)",,
42,mother ,"nënë, amë",Amme,?,,,
43,father ,atë,(v)até,?,,,
44,animal ,shtazë,<< stanza : stand,? !-+-,,,
45,fish ,peshk,pisch,?,,,
46,bird ,zog,Zug vogël !!,? <,,,
47,dog ,qen,chien,?,,,
48,louse ,thëri,@Tiere,/,,,
49,snake ,gjarpër,Serpen’  krabberl gviper??,? ---,,,
50,worm ,krimb,krümm,?,,,
51,tree ,"pemë, dru",tree druid!! << pe.mes!?,? <,,,
52,forest ,pyll,phylat Blatt poly?,?,,,
53,stick ,shkop,~,~,,,
54,fruit ,frutë,?,?,,,
55,seed ,"farë, bërthamë",^ Birthsame !!!!,? !!,,,
56,leaf ,gjethe,Gath : gAst! ,? –,,,
57,root ,rrënjë,Ranke/Range : color!!,? !!,,,
58,bark (of a tree) ,zgavër,s’cover >> ka’er >> *karbark ,??!!! ,"Cavity , bark: birch bright brech?",,
59,flower ,lule,lilie,?+,,,
60,grass ,bar,norse  Barr = barley herbar,? -+-,<> bear=wear Bread phárma chopar? f?’er? <> burn?,,
61,rope ,litar,line/ le’tau?,??-,,,
62,skin ,lëkurë,le’cure lederi! Covre!!,??!," ?????? (skúlos, fell) lacking lakur (“naked”)",,
63,meat ,mish,~,?,,,
64,blood ,gjak,"kik, yasar, ??? kry(k)",?!?, saka? ‘resin’ suck saft?,,
65,bone ,"eshtër, (Gheg: ashtë)",osteo,?,,,
66,fat (noun) ,"dhjamë, maj",????? d?mós <> dermos,?!,,,
67,egg ,"ve, vezë",Vegg@vogel <> feige?,?!,,,
68,horn ,bri,capri!,?!?,,,
69,tail ,bisht,büschelt,?,,,
70,feather ,pupël,~! <,?~<,,,
71,hair ,"flok, qime, lesh","flocke, kämme, leash!",?~<,,,
72,head ,"kokë, krye, krenë",???.al kuck ,?~<,,,
73,ear ,vesh,vearsh vagin@HE,?~<,,,
74,eye ,sy,"see, seye",?!,,,
75,nose ,hundë,;) hno?e,??!,,,
76,mouth ,gojë,Gosche! ?? k?u,?!,,,
77,tooth ,dhëmb,tent thumb !<>,?~!,,,
78,tongue (organ) ,gjuhë,~glosse –,?~-?,,,
79,fingernail ,thua,toe!,?!,,,
80,foot ,shputë,"sputen, phoot, fuß",?!,,,
81,leg ,këmbë,Jambe <,?!,,,
82,knee ,gju,gnee,?~,,,
83,hand ,dorë,dar!! cheiro,?!!,,,
84,wing ,"krah, flatër","krah, flatter :) !!!",?+ :),,,
85,belly ,"bark, stomak",stomach,?!,,,
86,guts ,zorrë,?!!?  ?so.ma,?!!?,,,
87,neck ,"qafë, zverk","<> kopf, zwerg!?",?!?,,,
88,back ,"kurriz, shpinë",kreuz! Spine,?!!,,,
89,breast ,"gji, sisë","tsitse, glia?<",?,,,
90,heart ,zemër,soma! s’aimer! Zimmer?,?!,,,
91,liver ,mëlçi,milch? ?? ,<,,,
92,to drink ,pi,boir,?,,,
93,to eat ,ha,ham!,?,,,
94,to bite ,kafshoj,kau.chuck!?,??,,,
95,to suck ,thith,?? @ tits! Sitc suck,?,,,
96,to spit ,pështyj,? ? ? ? ! ++,?,,,
97,to vomit ,vjell,~,??,,,
98,to blow ,fryj,Frier!? <<,?? <<,,,
99,to breathe ,marr frymë,Mach ^^,? ^,,,
100,to laugh ,qesh,"ker, La gher, kess?",?~,,,
101,to see ,shoh,Sehen ++,?+,,,
102,to hear ,dëgjoj,Dm? << gjuaj : jaguad jagd,? ---,Intelleg? –,,
103,to know ,di,i?eo See (condensed!),?,,,
104,to think ,mendoj,menta mind,?,,,
105,to smell ,nuhas,riech@nose,?,,,
106,to fear ,druaj,dread,?,,,
107,to sleep ,fle,f’liegen ƒleep,??,,,
108,to live ,jetoj,"ether, ethe, estoj : Sein",?~,¬die,,
109,to die ,vdes,Dis-Verderb? Death!,?,,,
110,to kill ,vras," ??? (rutá, “broken”) rush down",?-,,,
111,to fight ,"luftoj, përleshem",lax:bend ---,?--- / –,,,
112,to hunt ,gjuaj,jaguard,?,,,
113,to hit ,godas,cut? Goat!,?,,,
114,to cut ,pres,press~-- purge,?-,,,
115,to split ,"ndaj, daj",dash,?,,,
116,to stab ,ther,Speer <,,,,
117,to scratch ,kruaj,kratz,?+,,,
118,to dig ,gërmoj,kar.moj@gr,?!,,,
119,to swim ,notoj,naut.oj,?,,,
120,to fly ,fluturoj,Fluy << flutter.oj !!,?,,,
121,to walk ,eci,"cesse, wego",?,,,
122,to come ,vij,veni via,?,,,
123,to lie (as in a bed) ,shtrihem,s’drehen s’träumen!,?!<,snorchen,,
124,to sit ,ulem,stuhlen?,?,,,
125,to stand ,rri,Rise! Rest,?+,<> resit! Residue,,
126,to turn (intransitive) ,kthej,"~~change , k’turn –",~,,,
127,to fall ,bie,beil! Bein,?!?,,,
128,to give ,jap,geben,?,,,
129,to hold ,mbaj,~em.port…,,,,
130,to squeeze ,shtrydh,Drück-?  <> push,~,,,
131,to rub ,ledhatoj,leder!?,??,,,
132,to wash ,laj,lauge,?,,,
133,to wipe ,fshij,Wisch +,?+,,,
134,to pull ,tërheq,"track, drag",??,,,
135,to push ,shtyj,stä.mme,??,,,
136,to throw ,hedh,hedge!,?!,,,
137,to tie ,lidh,lid?,??,,,
