 No. 	English 	Aryan	Lithuanian 	Latvian 	Latgalian 	Samogitian 	Old Prussian
1	I 	aisch	aš 	es 	es, aś 	aš 	as
2	you (singular) 	tu	tu 	tu 	tu 	to 	tū
3	he 	his	jis 	viņš 	jis 	ons 	tāns
4	we 	meis	mes 	mēs 	mes, ḿaś 	- 	mes
5	you 	yous	jūs 	jūs 	jius 	jūs 	jūs
6	they 	sje	jie 	viņi 	jī 	anėi 	tenei
7	this 	this	šis, šitas 	šis 	šys, itys 	- 	šis
8	that 	thas	tas, anas 	tas 	tys 	tas 	stas
9	here 	<<	čia, čionai, šičia 	šeit 	ite, te, iťa 	šen 	stwi
10	there 	dan durt	ten, tenai 	tur 	tī 	- 	stwen
11	who 	qwhos	kas, kuris, katras 	kurš, kas 	kurs 	kas 	kas
12	what 	qwhath	kas, ką, kuo 	kas 	kas 	kas 	kawīds
13	where 	qwhere	kur, kame 	kur 	kur, kimā 	kamė, kor 	kwēi
14	when 	qwhenda	kada 	kad 	kod 	kumet 	kadan
15	how 	qwoi(p?)	kaip 	kā 	kai 	kāp 	kāi
16	not 	na	ne 	nē 	nā 	ne 	ni
17	all 	<<	viskas, visa, visas 	viss 	vyss 	sovėsam 	wisāi
18	many 	namz|many  toti? 	daug 	daudz 	daudzi, namoz 	daug 	tūlan
19	some 	Quelques, …?	kažkiek, keli, keletas 	daži, kautcik 	nazcik, kuri nakuri 	- 	deli
20	few 	Ne-toti	keletas, nedaug, truputis 	nedaudzi 	nadaudzeji 	- 	mazzan kas
21	other 	ceteris!	kitas, anas 	cits 	cyts 	kėts 	kitan
22	one 	veins!	vienas 	viens 	vīns 	vėins 	ains
23	two 	dvi	du, dvi 	divi 	div 	do, dvė 	dwai
24	three 	treis	trys 	trīs 	treis 	- 	trijan
25	four 	qvtouri	keturi 	četri 	četri 	- 	keturjāi
26	five 	phienci	penki 	pieci 	pīci 	- 	pēnkjāi
27	big 	t.tallis!! <<	didelis 	liels 	lels 	dėdėlis 	debīkan
28	long 	Ilongros !	ilgas 	garš, ilgs 	gars, ilgs 	- 	ilgāi
29	wide 	Plattos < platon	platus 	plats 	plots 	pluots 	platus
30	thick 	<<	storas, tankus, tirštas 	biezs 	bīzs 	- 	stārs
31	heavy 	sunk? Groß	sunkus 	smags 	gryuts 	smagoms 	brendus
32	small 	miczras	mažas 	mazs 	mozs 	mažos 	līkuts
33	short 	<<	trumpas 	īss 	eiss 	- 	īnsan
34	narrow 	~short? <<	siauras, ankštas 	šaurs 	šaurs 	- 	anzuks
35	thin 	Plain? -	plonas, liesas 	plāns, tievs 	plans 	tēvs 	lāils
