No. ,English ,Mongolian монгол хэл (mongol hel),NOT much PIE vocab,,,,,
1,I ,би (bi),we,,,,,
2,you (singular) ,чи (či),sie,,,,,
3,he ,тэр (ter),der,,,,,
4,we ,бид (bid),wes,,,,,
5,you (plural) ,та (ta),tu,,,,,
6,they ,тэд нар (ted nar),they.ner,,,,,
7,this ,энэ (ene),那 one ,,,,,
8,that ,тэр (ter),der,,,,,
9,here ,энд (end),ante,,,,,
10,there ,тэнд (tend),dante,,,,,
11,who ,хэн (hen),whon,,,,,
12,what ,юу (juu),qju,,,,,
13,where ,хаан (haan),kuan,,,,,
14,when ,хэзээ (hezee),kuez,,,,,
15,how ,яаж (jaaž),kuaz,,,,,
16,not ,-гүй (-güj) (suffix),kein-- !! ,,,,,
17,all ,бүх (büh),pan,,,,,
18,many ,олон (olon),allen,,,,,
19,some ,зарим (zarim),sa’m,,,,,
20,few ,цөөн (tsöön),ᵗsome,,,,,
21,other ,өөр (öör),o'er,,,,,
22,one ,нэг (neg),einig 1.eg,,,,,
23,two ,хоёр (hojor),…er,,,,,
24,three ,гурав (gurav),curi(v),,,,,
25,four ,дөрөв (döröv),dort(v),OK,,,,
26,five ,тав (tav),--,6:ǰirɣuɣ 7:долоо –	8: ᠨᠠᠢᠮᠠ (naima		10: ᠠᠷᠪᠠ (arba !,,,,
27,big ,том (tom),太大 tallma turm ,,,,,
28,long ,урт (urt),Vrt : big,,,,,
29,wide ,өргөн (örgön),^^,,,,,
30,thick ,зузаан (zuzaan),thiz.on thick,,,,,
31,heavy ,хүнд hünd,Hund ~ Dag dense,,,,,
32,small ,жижиг (žižig)  жаал (žaal),cycy ≠ winzig zmaal ,,,,,
33,short ,богино (bogino),pecino,,,,,
34,narrow ,цухал (tsuhal),small,,,,,
35,thin ,нимгэн (nimgen),[nam]eng,,,,,
36,woman ,эмэгтэй (emegtej),"Magt, oma.ta",++,,,,
37,man (adult male) ,эр хүн (er hün),Der Huehne < man,𐀪 人 ren ,,,,
38,man (human being) ,хүн (hün),hün < man,Hun<Mongol,,,,
39,child ,хүүхэд (hüühed),hün.chied,,,,,
40,wife ,эхнэр (ehner)  гэргий (gergij),Ehe-nuer girl,<<,,,,
41,husband ,нөхөр (nöhör),Nährer,^^,,,,
42,mother ,ээж (eež)  эх (eh),Ische,,,,,
43,father ,аав (aav)  эцэг (etseg),ab 2. ?,,,,,
44,animal ,амьтан (amʹtan),amital,,,,,
45,fish ,загас (zagas),ɸēsk 𓃀.Sax;) sayuˢ sùj=swim,,,,,
46,bird ,шувуу (šuvuu),swallow,,,,,
47,dog ,нохой (nohoj),nogvei <> kuon,--,,,,
48,louse ,бөөс (böös),<> böse@𓃒 ,,,,,
49,snake ,могой (mogoj),mnogo naga,,,,,
50,worm ,хорхой (horhoj),khor™,,,,,
51,tree ,мод (mod),mùᵈ mwood,,,,,
52,forest ,ой (oj),ash 𓆭,,,,,
53,stick ,таяг (tajag)  саваа (savaa),jtag stick stab,,,,,
54,fruit ,жимс (žims),semens,,,,,
55,seed ,үр (ür),Ur,,,,,
56,leaf ,навч (navč),𓄔,X,,,,
57,root ,үндэс (ündes),√under,?,,,,
58,bark (of a tree) ,холтос (holtos),kurt,,,,,
59,flower ,цэцэг (tsetseg),𓊃𓈙𓈙𓆸,++,,,,
60,grass ,өвс (övs),grövss,,,,,
