No. 	English 	Zazaki Zazaki, dımli		
1	I 	ez, ed	ego, anti	
2	you (singular) 	tı, to (informal), şıma (formal)	tu, sie	
3	he 	o	ho	
4	we 	ma	mai	
5	you (plural) 	şıma	sie	
6	they 	ee	'ey	
7	this 	na	na!	
8	that 	no, o		
9	here 	etiyade	at yade	
10	there 	tiyad, ucad		
11	who 	kam (interrogative)	kuam	
12	what 	se, çıçi (interrogative)	ce, cic, this	
13	where 	koti, sera (no movement, interrogative)		
14	when 	çımahal, key, çıweğt (interrogative)	zeima quam	
15	how 	seni (interrogative)		
16	not 	niyo (separate word);	ney!	
17	all 	hemi, peero	½ peers	
18	many 	bol	poly	
19	some 	teney	thom	
20	few 	tay	¬tai	
21	other 	zewbi		
22	one 	zu, zew		
23	two 	dıdı	di	
24	three 	hiree	three	
25	four 	çehar	cetar	
26	five 	panc	panj	
27	big 	gırd	great	
28	long 	derg	dar<<	
29	wide 	hera	quer hero<<	
30	thick 	qalın	√qar	
31	heavy 	gran	grand	
32	small 	werdı	wurm?	
33	short 	kılm	kuleimn	
34	narrow 	teng	t’eng	
35	thin 	barı	<<	
36	woman 	cıni	gyne	
37	man (adult male) 	Cameerd		
38	man (human being) 	insan, merdım		
39	child 	qeçek	kücke (little)	
40	wife 	pirık	@	
41	husband 	kalık		
42	mother 	ma, may	ma	
43	father 	pi, kalık	pa	
44	animal 	heywan	@	
45	fish 	mase		
46	bird 	mıriçık	music chick	
47	dog 	kutıg, del	Köter, dolg	
48	louse 	ıspıc		
49	snake 	mar	@sumer	
50	worm 	lolık	lolly;)	
51	tree 	dar	daree!	
52	forest 	meeşe	mu.s	
53	stick 	çuwe, sıvur		
54	fruit 	meywe	malve	
55	seed 	toğım		
56	leaf 	per	pratt	
57	root 	reeçe	rooce	
58	bark (of a tree) 	kabığ	karbark	
59	flower 	vılık	vlower	
60	grass 	vaş	grvas	
61	rope 	la, resen	lasso!	
62	skin 	goşt	Ghost?? <<	
63	meat 	et	meat	
64	blood 	goni	gene!	
65	bone 	este	osteo	
66	fat (noun) 	ron, ruwen	rou?	
67	egg 	haak, aag	hegg!	
68	horn 	estere	osteo	
69	tail 	poçık	puschel	
70	feather 	mu	<<<	
71	hair 	por	<<	
72	head 	sere	<<	
73	ear 	goş	Gosche	
74	eye 	çım	Seemu <	
75	nose 	zınci, pırnık	Zinke!	
76	mouth 	fek	le Pack!	
77	tooth 	dından	dental	
78	tongue (organ) 	zıwan, zuwan	zungwen	
79	fingernail 	nengu	Nãgul	
80	foot 	lıng	<< 2?	
81	leg 	saqe		
82	knee 	reez		
83	hand 	dest	do dost!	<<
84	wing 	per	√per > fly	
85	belly 	pize	Plauze	
86	guts 	loqrey		
87	neck 	mıl		
88	back 	pey, mıyane	~	
89	breast 	seene	soma	
90	heart 	zerr, kelb	cherrz, kalieb	™
91	liver 	karaciger	<<	
92	to drink 	şımıten	-ten -en -gen -yen	
93	to eat 	weyen	beißen	
94	to bite 	gaz kerden	kaußen	
95	to suck 	anceyen	anziehen!	ansaugen
96	to spit 	pıkerden	s’piker.tun	
97	to vomit 	vıreecen	~-	
98	to blow 	pıf kerden	puff kardan	
99	to breathe 	nefes groten	𓄤 kardan	
100	to laugh 	huweyen	Haha-wen	
101	to see 	vinayen	voyen	
102	to hear 	aşnawen		
103	to know 	zanen	zano/know	
104	to think 	ğeyalkerden	genial?	
105	to smell 	boy kerden	böe	
106	to fear 	tersayen	terse	
107	to sleep 	rakewten	ratzen	
108	to live 	weşeyen	be/sein	
109	to die 	merden	morden	++
110	to kill 	kısayen	kill.sein	
111	to fight 	lec kerden		
